Data;Custo;Faturamento;Ganho;Quantidade;
14/08/2023 16:41; R$ 332,00 ; R$ 701,00 ; R$ 369,00 ;9;
14/08/2023 16:37; R$ 445,00 ; R$ 905,00 ; R$ 460,00 ;9;
14/08/2023 16:35; R$ 793,00 ; R$ 1.597,00 ; R$ 804,00 ;14;
14/08/2023 16:28; R$ 156,00 ; R$ 331,00 ; R$ 175,00 ;2;
14/08/2023 16:27; R$ 296,00 ; R$ 492,00 ; R$ 196,00 ;6;
14/08/2023 16:24; R$ 666,00 ; R$ 1.327,00 ; R$ 661,00 ;16;
14/08/2023 16:22; R$ 255,00 ; R$ 629,00 ; R$ 374,00 ;6;
14/08/2023 16:20; R$ 721,00 ; R$ 1.414,00 ; R$ 693,00 ;16;
14/08/2023 16:19; R$ 390,00 ; R$ 816,00 ; R$ 426,00 ;11;
14/08/2023 16:18; R$ 472,00 ; R$ 1.045,00 ; R$ 573,00 ;14;
14/08/2023 16:13; R$ 295,00 ; R$ 658,00 ; R$ 363,00 ;9;
14/08/2023 16:13; R$ 502,00 ; R$ 1.062,00 ; R$ 560,00 ;13;
14/08/2023 16:10; R$ 91,00 ; R$ 238,00 ; R$ 147,00 ;2;
14/08/2023 16:03; R$ 210,00 ; R$ 403,00 ; R$ 193,00 ;5;
14/08/2023 16:00; R$ 477,00 ; R$ 911,00 ; R$ 434,00 ;10;
14/08/2023 15:59; R$ 161,00 ; R$ 442,00 ; R$ 281,00 ;3;
14/08/2023 15:59; R$ 419,00 ; R$ 854,00 ; R$ 435,00 ;8;
14/08/2023 15:55; R$ 226,00 ; R$ 430,00 ; R$ 204,00 ;5;
14/08/2023 15:51; R$ 79,00 ; R$ 109,00 ; R$ 30,00 ;2;
14/08/2023 15:49; R$ 371,00 ; R$ 727,00 ; R$ 356,00 ;7;
14/08/2023 15:48; R$ 526,00 ; R$ 1.166,00 ; R$ 640,00 ;13;
14/08/2023 15:44; R$ 649,00 ; R$ 1.200,00 ; R$ 551,00 ;13;
14/08/2023 15:42; R$ 354,00 ; R$ 809,00 ; R$ 455,00 ;9;
14/08/2023 15:41; R$ 279,00 ; R$ 589,00 ; R$ 310,00 ;6;
14/08/2023 15:41; R$ 288,00 ; R$ 561,00 ; R$ 273,00 ;6;
14/08/2023 15:39; R$ 335,00 ; R$ 692,00 ; R$ 357,00 ;9;
14/08/2023 15:36; R$ 536,00 ; R$ 1.092,00 ; R$ 556,00 ;11;
14/08/2023 15:31; R$ 477,00 ; R$ 911,00 ; R$ 434,00 ;7;
14/08/2023 15:28; R$ 477,00 ; R$ 1.049,00 ; R$ 572,00 ;11;
14/08/2023 15:27; R$ 391,00 ; R$ 817,00 ; R$ 426,00 ;10;
14/08/2023 15:21; R$ 317,00 ; R$ 748,00 ; R$ 431,00 ;8;
14/08/2023 15:15; R$ 279,00 ; R$ 700,00 ; R$ 421,00 ;10;
14/08/2023 15:11; R$ 418,00 ; R$ 928,00 ; R$ 510,00 ;9;
14/08/2023 15:10; R$ 324,00 ; R$ 689,00 ; R$ 365,00 ;6;
14/08/2023 15:07; R$ 335,00 ; R$ 687,00 ; R$ 352,00 ;11;
14/08/2023 15:05; R$ 92,00 ; R$ 176,00 ; R$ 84,00 ;3;
14/08/2023 14:48; R$ 548,00 ; R$ 987,00 ; R$ 439,00 ;9;
14/08/2023 14:46; R$ 609,00 ; R$ 1.105,00 ; R$ 496,00 ;13;
14/08/2023 14:42; R$ 659,00 ; R$ 1.292,00 ; R$ 633,00 ;15;
14/08/2023 14:40; R$ 370,00 ; R$ 822,00 ; R$ 452,00 ;6;
14/08/2023 14:37; R$ 548,00 ; R$ 1.146,00 ; R$ 598,00 ;14;
14/08/2023 14:31; R$ 335,00 ; R$ 820,00 ; R$ 485,00 ;8;
14/08/2023 14:25; R$ 218,00 ; R$ 468,00 ; R$ 250,00 ;6;
13/08/2023 19:10; R$ 355,00 ; R$ 634,00 ; R$ 279,00 ;9;
13/08/2023 19:08; R$ 674,00 ; R$ 1.488,00 ; R$ 814,00 ;14;
13/08/2023 19:02; R$ 532,00 ; R$ 1.119,00 ; R$ 587,00 ;12;
13/08/2023 19:00; R$ 258,00 ; R$ 525,00 ; R$ 267,00 ;6;
13/08/2023 18:56; R$ 394,00 ; R$ 856,00 ; R$ 462,00 ;11;
13/08/2023 18:56; R$ 560,00 ; R$ 1.026,00 ; R$ 466,00 ;11;
13/08/2023 18:51; R$ 402,00 ; R$ 920,00 ; R$ 518,00 ;11;
13/08/2023 18:50; R$ 212,00 ; R$ 448,00 ; R$ 236,00 ;5;
13/08/2023 18:49; R$ 257,00 ; R$ 437,00 ; R$ 180,00 ;5;
13/08/2023 18:44; R$ 266,00 ; R$ 443,00 ; R$ 177,00 ;6;
13/08/2023 18:36; R$ 263,00 ; R$ 546,00 ; R$ 283,00 ;9;
13/08/2023 18:34; R$ 460,00 ; R$ 975,00 ; R$ 515,00 ;10;
13/08/2023 18:31; R$ 97,00 ; R$ 158,00 ; R$ 61,00 ;2;
13/08/2023 18:30; R$ 408,00 ; R$ 845,00 ; R$ 437,00 ;9;
13/08/2023 18:27; R$ 105,00 ; R$ 234,00 ; R$ 129,00 ;2;
13/08/2023 18:27; R$ 298,00 ; R$ 688,00 ; R$ 390,00 ;4;
13/08/2023 18:27; R$ 382,00 ; R$ 840,00 ; R$ 458,00 ;11;
13/08/2023 18:26; R$ 452,00 ; R$ 882,00 ; R$ 430,00 ;12;
13/08/2023 18:25; R$ 418,00 ; R$ 714,00 ; R$ 296,00 ;9;
13/08/2023 18:21; R$ 629,00 ; R$ 1.221,00 ; R$ 592,00 ;16;
13/08/2023 18:18; R$ 141,00 ; R$ 320,00 ; R$ 179,00 ;4;
13/08/2023 18:18; R$ 297,00 ; R$ 570,00 ; R$ 273,00 ;7;
13/08/2023 18:10; R$ 87,00 ; R$ 219,00 ; R$ 132,00 ;3;
13/08/2023 18:09; R$ 294,00 ; R$ 537,00 ; R$ 243,00 ;7;
13/08/2023 17:59; R$ 379,00 ; R$ 771,00 ; R$ 392,00 ;10;
13/08/2023 17:59; R$ 125,00 ; R$ 264,00 ; R$ 139,00 ;3;
13/08/2023 17:50; R$ 172,00 ; R$ 372,00 ; R$ 200,00 ;5;
13/08/2023 17:48; R$ 75,00 ; R$ 125,00 ; R$ 50,00 ;3;
13/08/2023 17:48; R$ 112,00 ; R$ 294,00 ; R$ 182,00 ;3;
13/08/2023 17:47; R$ 242,00 ; R$ 492,00 ; R$ 250,00 ;8;
13/08/2023 17:39; R$ 607,00 ; R$ 1.130,00 ; R$ 523,00 ;10;
13/08/2023 17:36; R$ 358,00 ; R$ 727,00 ; R$ 369,00 ;8;
13/08/2023 17:26; R$ 470,00 ; R$ 804,00 ; R$ 334,00 ;14;
13/08/2023 17:24; R$ 537,00 ; R$ 1.187,00 ; R$ 650,00 ;12;
13/08/2023 17:22; R$ 269,00 ; R$ 527,00 ; R$ 258,00 ;8;
13/08/2023 17:20; R$ 160,00 ; R$ 338,00 ; R$ 178,00 ;4;
13/08/2023 17:19; R$ 603,00 ; R$ 1.194,00 ; R$ 591,00 ;14;
13/08/2023 17:11; R$ 163,00 ; R$ 330,00 ; R$ 167,00 ;5;
13/08/2023 17:07; R$ 198,00 ; R$ 425,00 ; R$ 227,00 ;4;
13/08/2023 17:06; R$ 188,00 ; R$ 361,00 ; R$ 173,00 ;6;
13/08/2023 17:05; R$ 536,00 ; R$ 1.091,00 ; R$ 555,00 ;12;
13/08/2023 17:04; R$ 457,00 ; R$ 835,00 ; R$ 378,00 ;7;
13/08/2023 17:03; R$ 209,00 ; R$ 403,00 ; R$ 194,00 ;4;
13/08/2023 17:03; R$ 469,00 ; R$ 770,00 ; R$ 301,00 ;9;
13/08/2023 17:02; R$ 561,00 ; R$ 1.096,00 ; R$ 535,00 ;13;
13/08/2023 17:02; R$ 389,00 ; R$ 831,00 ; R$ 442,00 ;11;
13/08/2023 17:00; R$ 219,00 ; R$ 414,00 ; R$ 195,00 ;7;
13/08/2023 16:58; R$ 449,00 ; R$ 911,00 ; R$ 462,00 ;11;
13/08/2023 16:57; R$ 312,00 ; R$ 563,00 ; R$ 251,00 ;5;
13/08/2023 16:54; R$ 312,00 ; R$ 639,00 ; R$ 327,00 ;6;
13/08/2023 16:54; R$ 233,00 ; R$ 519,00 ; R$ 286,00 ;6;
13/08/2023 16:52; R$ 370,00 ; R$ 798,00 ; R$ 428,00 ;8;
13/08/2023 16:51; R$ 144,00 ; R$ 281,00 ; R$ 137,00 ;3;
13/08/2023 16:50; R$ 565,00 ; R$ 1.009,00 ; R$ 444,00 ;16;
13/08/2023 16:47; R$ 416,00 ; R$ 682,00 ; R$ 266,00 ;9;
13/08/2023 16:44; R$ 220,00 ; R$ 328,00 ; R$ 108,00 ;5;
13/08/2023 16:41; R$ 339,00 ; R$ 779,00 ; R$ 440,00 ;9;
13/08/2023 16:41; R$ 431,00 ; R$ 853,00 ; R$ 422,00 ;9;
13/08/2023 16:34; R$ 34,00 ; R$ 82,00 ; R$ 48,00 ;2;
13/08/2023 16:33; R$ 570,00 ; R$ 1.012,00 ; R$ 442,00 ;12;
13/08/2023 16:33; R$ 93,00 ; R$ 217,00 ; R$ 124,00 ;4;
13/08/2023 16:32; R$ 853,00 ; R$ 1.721,00 ; R$ 868,00 ;15;
13/08/2023 16:25; R$ 728,00 ; R$ 1.352,00 ; R$ 624,00 ;15;
13/08/2023 16:22; R$ 501,00 ; R$ 1.218,00 ; R$ 717,00 ;11;
13/08/2023 16:20; R$ 237,00 ; R$ 381,00 ; R$ 144,00 ;4;
13/08/2023 16:18; R$ 276,00 ; R$ 626,00 ; R$ 350,00 ;7;
13/08/2023 16:18; R$ 333,00 ; R$ 646,00 ; R$ 313,00 ;9;
13/08/2023 16:16; R$ 807,00 ; R$ 1.506,00 ; R$ 699,00 ;14;
13/08/2023 16:13; R$ 615,00 ; R$ 1.173,00 ; R$ 558,00 ;15;
13/08/2023 16:11; R$ 782,00 ; R$ 1.566,00 ; R$ 784,00 ;16;
13/08/2023 16:05; R$ 358,00 ; R$ 776,00 ; R$ 418,00 ;8;
13/08/2023 16:04; R$ 289,00 ; R$ 558,00 ; R$ 269,00 ;9;
13/08/2023 16:01; R$ 415,00 ; R$ 842,00 ; R$ 427,00 ;10;
13/08/2023 15:55; R$ 254,00 ; R$ 514,00 ; R$ 260,00 ;6;
13/08/2023 15:55; R$ 433,00 ; R$ 959,00 ; R$ 526,00 ;11;
13/08/2023 15:52; R$ 675,00 ; R$ 1.361,00 ; R$ 686,00 ;14;
13/08/2023 15:49; R$ 328,00 ; R$ 637,00 ; R$ 309,00 ;9;
13/08/2023 15:47; R$ 639,00 ; R$ 1.436,00 ; R$ 797,00 ;16;
13/08/2023 15:45; R$ 335,00 ; R$ 713,00 ; R$ 378,00 ;9;
13/08/2023 15:44; R$ 677,00 ; R$ 1.274,00 ; R$ 597,00 ;14;
13/08/2023 15:44; R$ 157,00 ; R$ 401,00 ; R$ 244,00 ;4;
13/08/2023 15:44; R$ 326,00 ; R$ 703,00 ; R$ 377,00 ;9;
13/08/2023 15:43; R$ 652,00 ; R$ 1.312,00 ; R$ 660,00 ;15;
13/08/2023 15:43; R$ 556,00 ; R$ 1.170,00 ; R$ 614,00 ;12;
13/08/2023 15:39; R$ 460,00 ; R$ 1.045,00 ; R$ 585,00 ;16;
13/08/2023 15:37; R$ 248,00 ; R$ 476,00 ; R$ 228,00 ;8;
13/08/2023 15:35; R$ 485,00 ; R$ 970,00 ; R$ 485,00 ;13;
13/08/2023 15:34; R$ 503,00 ; R$ 1.032,00 ; R$ 529,00 ;10;
13/08/2023 15:27; R$ 560,00 ; R$ 1.250,00 ; R$ 690,00 ;11;
13/08/2023 15:23; R$ 546,00 ; R$ 1.061,00 ; R$ 515,00 ;16;
13/08/2023 15:22; R$ 374,00 ; R$ 794,00 ; R$ 420,00 ;10;
13/08/2023 15:22; R$ 80,00 ; R$ 165,00 ; R$ 85,00 ;2;
13/08/2023 15:18; R$ 769,00 ; R$ 1.364,00 ; R$ 595,00 ;16;
13/08/2023 15:18; R$ 67,00 ; R$ 222,00 ; R$ 155,00 ;2;
13/08/2023 15:15; R$ 106,00 ; R$ 267,00 ; R$ 161,00 ;4;
13/08/2023 15:14; R$ 449,00 ; R$ 905,00 ; R$ 456,00 ;9;
13/08/2023 15:12; R$ 56,00 ; R$ 105,00 ; R$ 49,00 ;2;
13/08/2023 15:03; R$ 298,00 ; R$ 748,00 ; R$ 450,00 ;7;
13/08/2023 15:02; R$ 123,00 ; R$ 318,00 ; R$ 195,00 ;3;
13/08/2023 15:02; R$ 374,00 ; R$ 800,00 ; R$ 426,00 ;12;
13/08/2023 15:01; R$ 329,00 ; R$ 686,00 ; R$ 357,00 ;8;
13/08/2023 14:59; R$ 323,00 ; R$ 587,00 ; R$ 264,00 ;8;
13/08/2023 14:54; R$ 747,00 ; R$ 1.627,00 ; R$ 880,00 ;16;
13/08/2023 14:53; R$ 205,00 ; R$ 390,00 ; R$ 185,00 ;5;
13/08/2023 14:52; R$ 227,00 ; R$ 416,00 ; R$ 189,00 ;6;
13/08/2023 14:44; R$ 576,00 ; R$ 1.239,00 ; R$ 663,00 ;14;
13/08/2023 14:43; R$ 288,00 ; R$ 537,00 ; R$ 249,00 ;6;
13/08/2023 14:39; R$ 297,00 ; R$ 620,00 ; R$ 323,00 ;5;
13/08/2023 14:38; R$ 117,00 ; R$ 361,00 ; R$ 244,00 ;3;
13/08/2023 14:34; R$ 442,00 ; R$ 992,00 ; R$ 550,00 ;12;
13/08/2023 14:33; R$ 625,00 ; R$ 1.251,00 ; R$ 626,00 ;11;
13/08/2023 14:30; R$ 575,00 ; R$ 1.268,00 ; R$ 693,00 ;15;
13/08/2023 14:25; R$ 242,00 ; R$ 480,00 ; R$ 238,00 ;6;
13/08/2023 14:25; R$ 219,00 ; R$ 434,00 ; R$ 215,00 ;6;
13/08/2023 14:25; R$ 572,00 ; R$ 1.252,00 ; R$ 680,00 ;16;
13/08/2023 14:24; R$ 413,00 ; R$ 871,00 ; R$ 458,00 ;12;
12/08/2023 19:11; R$ 755,00 ; R$ 1.302,00 ; R$ 547,00 ;15;
12/08/2023 19:09; R$ 470,00 ; R$ 802,00 ; R$ 332,00 ;10;
12/08/2023 19:08; R$ 146,00 ; R$ 310,00 ; R$ 164,00 ;4;
12/08/2023 19:06; R$ 40,00 ; R$ 77,00 ; R$ 37,00 ;2;
12/08/2023 19:05; R$ 371,00 ; R$ 719,00 ; R$ 348,00 ;10;
12/08/2023 19:03; R$ 701,00 ; R$ 1.436,00 ; R$ 735,00 ;14;
12/08/2023 18:58; R$ 465,00 ; R$ 900,00 ; R$ 435,00 ;13;
12/08/2023 18:57; R$ 155,00 ; R$ 297,00 ; R$ 142,00 ;4;
12/08/2023 18:57; R$ 317,00 ; R$ 649,00 ; R$ 332,00 ;7;
12/08/2023 18:55; R$ 304,00 ; R$ 472,00 ; R$ 168,00 ;6;
12/08/2023 18:54; R$ 539,00 ; R$ 1.097,00 ; R$ 558,00 ;13;
12/08/2023 18:53; R$ 658,00 ; R$ 1.355,00 ; R$ 697,00 ;16;
12/08/2023 18:53; R$ 137,00 ; R$ 250,00 ; R$ 113,00 ;3;
12/08/2023 18:47; R$ 80,00 ; R$ 171,00 ; R$ 91,00 ;2;
12/08/2023 18:42; R$ 141,00 ; R$ 289,00 ; R$ 148,00 ;5;
12/08/2023 18:41; R$ 285,00 ; R$ 591,00 ; R$ 306,00 ;8;
12/08/2023 18:39; R$ 571,00 ; R$ 1.167,00 ; R$ 596,00 ;15;
12/08/2023 18:36; R$ 643,00 ; R$ 1.338,00 ; R$ 695,00 ;16;
12/08/2023 18:33; R$ 131,00 ; R$ 237,00 ; R$ 106,00 ;4;
12/08/2023 18:32; R$ 114,00 ; R$ 298,00 ; R$ 184,00 ;3;
12/08/2023 18:30; R$ 209,00 ; R$ 473,00 ; R$ 264,00 ;5;
12/08/2023 18:28; R$ 371,00 ; R$ 769,00 ; R$ 398,00 ;10;
12/08/2023 18:25; R$ 273,00 ; R$ 744,00 ; R$ 471,00 ;7;
12/08/2023 18:22; R$ 541,00 ; R$ 1.178,00 ; R$ 637,00 ;15;
12/08/2023 18:22; R$ 436,00 ; R$ 813,00 ; R$ 377,00 ;9;
12/08/2023 18:18; R$ 650,00 ; R$ 1.288,00 ; R$ 638,00 ;15;
12/08/2023 18:16; R$ 83,00 ; R$ 217,00 ; R$ 134,00 ;2;
12/08/2023 18:11; R$ 382,00 ; R$ 775,00 ; R$ 393,00 ;8;
12/08/2023 18:07; R$ 577,00 ; R$ 1.433,00 ; R$ 856,00 ;12;
12/08/2023 17:59; R$ 241,00 ; R$ 420,00 ; R$ 179,00 ;7;
12/08/2023 17:57; R$ 183,00 ; R$ 387,00 ; R$ 204,00 ;5;
12/08/2023 17:56; R$ 438,00 ; R$ 907,00 ; R$ 469,00 ;12;
12/08/2023 17:55; R$ 521,00 ; R$ 1.031,00 ; R$ 510,00 ;15;
12/08/2023 17:54; R$ 616,00 ; R$ 1.307,00 ; R$ 691,00 ;13;
12/08/2023 17:51; R$ 270,00 ; R$ 588,00 ; R$ 318,00 ;5;
12/08/2023 17:50; R$ 243,00 ; R$ 454,00 ; R$ 211,00 ;6;
12/08/2023 17:46; R$ 211,00 ; R$ 456,00 ; R$ 245,00 ;6;
12/08/2023 17:45; R$ 661,00 ; R$ 1.408,00 ; R$ 747,00 ;12;
12/08/2023 17:44; R$ 470,00 ; R$ 762,00 ; R$ 292,00 ;11;
12/08/2023 17:39; R$ 493,00 ; R$ 818,00 ; R$ 325,00 ;12;
12/08/2023 17:33; R$ 287,00 ; R$ 642,00 ; R$ 355,00 ;6;
12/08/2023 17:31; R$ 252,00 ; R$ 492,00 ; R$ 240,00 ;6;
12/08/2023 17:29; R$ 323,00 ; R$ 580,00 ; R$ 257,00 ;8;
12/08/2023 17:28; R$ 910,00 ; R$ 1.887,00 ; R$ 977,00 ;16;
12/08/2023 17:27; R$ 214,00 ; R$ 502,00 ; R$ 288,00 ;6;
12/08/2023 17:23; R$ 590,00 ; R$ 1.250,00 ; R$ 660,00 ;13;
12/08/2023 17:20; R$ 122,00 ; R$ 206,00 ; R$ 84,00 ;4;
12/08/2023 17:17; R$ 470,00 ; R$ 1.019,00 ; R$ 549,00 ;14;
12/08/2023 17:16; R$ 672,00 ; R$ 1.296,00 ; R$ 624,00 ;15;
12/08/2023 17:08; R$ 223,00 ; R$ 438,00 ; R$ 215,00 ;6;
12/08/2023 17:06; R$ 574,00 ; R$ 1.266,00 ; R$ 692,00 ;16;
12/08/2023 17:06; R$ 327,00 ; R$ 733,00 ; R$ 406,00 ;8;
12/08/2023 17:04; R$ 246,00 ; R$ 484,00 ; R$ 238,00 ;7;
12/08/2023 16:58; R$ 312,00 ; R$ 520,00 ; R$ 208,00 ;7;
12/08/2023 16:57; R$ 650,00 ; R$ 1.327,00 ; R$ 677,00 ;14;
12/08/2023 16:55; R$ 442,00 ; R$ 1.041,00 ; R$ 599,00 ;12;
12/08/2023 16:53; R$ 197,00 ; R$ 369,00 ; R$ 172,00 ;4;
12/08/2023 16:47; R$ 658,00 ; R$ 1.278,00 ; R$ 620,00 ;16;
12/08/2023 16:40; R$ 343,00 ; R$ 675,00 ; R$ 332,00 ;7;
12/08/2023 16:38; R$ 111,00 ; R$ 183,00 ; R$ 72,00 ;2;
12/08/2023 16:36; R$ 303,00 ; R$ 601,00 ; R$ 298,00 ;8;
12/08/2023 16:29; R$ 81,00 ; R$ 254,00 ; R$ 173,00 ;2;
12/08/2023 16:26; R$ 477,00 ; R$ 878,00 ; R$ 401,00 ;10;
12/08/2023 16:19; R$ 704,00 ; R$ 1.592,00 ; R$ 888,00 ;16;
12/08/2023 16:17; R$ 414,00 ; R$ 878,00 ; R$ 464,00 ;11;
12/08/2023 16:14; R$ 571,00 ; R$ 1.146,00 ; R$ 575,00 ;14;
12/08/2023 16:12; R$ 409,00 ; R$ 847,00 ; R$ 438,00 ;8;
12/08/2023 16:11; R$ 107,00 ; R$ 189,00 ; R$ 82,00 ;3;
12/08/2023 16:03; R$ 353,00 ; R$ 648,00 ; R$ 295,00 ;9;
12/08/2023 16:02; R$ 389,00 ; R$ 780,00 ; R$ 391,00 ;11;
12/08/2023 16:01; R$ 441,00 ; R$ 1.022,00 ; R$ 581,00 ;11;
12/08/2023 15:57; R$ 528,00 ; R$ 1.061,00 ; R$ 533,00 ;14;
12/08/2023 15:56; R$ 627,00 ; R$ 1.196,00 ; R$ 569,00 ;16;
12/08/2023 15:54; R$ 275,00 ; R$ 629,00 ; R$ 354,00 ;5;
12/08/2023 15:53; R$ 395,00 ; R$ 666,00 ; R$ 271,00 ;6;
12/08/2023 15:52; R$ 302,00 ; R$ 527,00 ; R$ 225,00 ;8;
12/08/2023 15:46; R$ 592,00 ; R$ 1.262,00 ; R$ 670,00 ;15;
12/08/2023 15:44; R$ 194,00 ; R$ 324,00 ; R$ 130,00 ;4;
12/08/2023 15:42; R$ 39,00 ; R$ 91,00 ; R$ 52,00 ;2;
12/08/2023 15:41; R$ 277,00 ; R$ 520,00 ; R$ 243,00 ;6;
12/08/2023 15:28; R$ 469,00 ; R$ 1.083,00 ; R$ 614,00 ;11;
12/08/2023 15:27; R$ 697,00 ; R$ 1.193,00 ; R$ 496,00 ;13;
12/08/2023 15:27; R$ 51,00 ; R$ 121,00 ; R$ 70,00 ;2;
12/08/2023 15:25; R$ 562,00 ; R$ 1.142,00 ; R$ 580,00 ;15;
12/08/2023 15:19; R$ 448,00 ; R$ 876,00 ; R$ 428,00 ;13;
12/08/2023 15:17; R$ 335,00 ; R$ 756,00 ; R$ 421,00 ;9;
12/08/2023 15:11; R$ 366,00 ; R$ 785,00 ; R$ 419,00 ;9;
12/08/2023 15:06; R$ 183,00 ; R$ 364,00 ; R$ 181,00 ;8;
12/08/2023 14:52; R$ 445,00 ; R$ 982,00 ; R$ 537,00 ;8;
12/08/2023 14:51; R$ 188,00 ; R$ 357,00 ; R$ 169,00 ;6;
12/08/2023 14:41; R$ 286,00 ; R$ 539,00 ; R$ 253,00 ;7;
12/08/2023 14:35; R$ 456,00 ; R$ 987,00 ; R$ 531,00 ;13;
12/08/2023 14:34; R$ 592,00 ; R$ 1.270,00 ; R$ 678,00 ;13;
12/08/2023 14:33; R$ 486,00 ; R$ 958,00 ; R$ 472,00 ;11;
12/08/2023 14:29; R$ 93,00 ; R$ 174,00 ; R$ 81,00 ;2;
11/08/2023 19:01; R$ 625,00 ; R$ 1.243,00 ; R$ 618,00 ;13;
11/08/2023 19:00; R$ 729,00 ; R$ 1.654,00 ; R$ 925,00 ;16;
11/08/2023 18:53; R$ 361,00 ; R$ 653,00 ; R$ 292,00 ;8;
11/08/2023 18:53; R$ 415,00 ; R$ 827,00 ; R$ 412,00 ;8;
11/08/2023 18:52; R$ 586,00 ; R$ 1.168,00 ; R$ 582,00 ;12;
11/08/2023 18:51; R$ 505,00 ; R$ 1.098,00 ; R$ 593,00 ;13;
11/08/2023 18:48; R$ 479,00 ; R$ 857,00 ; R$ 378,00 ;8;
